,Unnamed: 0,AIN,TRA,Admin Region No,Common Area KY,Yr Sold to State,Recording Date,LAND Value,Improvement Value,GPP KY,Exmpt Claim Type KY,GPP Value,Fixture Value,Real Est Exmpt Value,PP Exmpt Value,Fixture Exmpt Value,Hmownr Exmpt Value,1st Owner Assee Name,1st Owner Name Overflow,2nd Owner Assee Name,Special Name Assee,SA KY,SA Date of Last Chng,SA Postal City Cde,SA House Number,SA Fraction,SA Direction,SA Unit,SA ZIP Cde,SA Street Name,SA City and State,MAO KY,MAO Date Of Last Chng,MAO Postal City Cde,MA House Number,MA Fraction,MA Direction,MA Unit,MA ZIP Cde,MA Street Name,MA City and State,LDLL Narative,LDLL Lot,LDLL Division,LDLL Region,LD Line1,LD Line2,LD Line3,LD Line4,LD Line 5,Zoning Code,Use Cde,Effective Yr,YR Built,Built SQ FT Main
1065,1065,4167009020,6174,14,0,0,19580213,465995,643700,ÿ,5,0,0,1109695,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST L D S,MANHATTAN BEACH,RE:500-4454,D,19950605,53,501,,N,,90266,ROWELL AVE,MANHATTAN BEACH CA,F,20100603,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,30,3S,14.0,PARTITION MAP SHOWING PROPERTY FORMERLY,OF THE REDONDO LAND CO LOT COM N,382.58 FT AND W 26 FT FROM SE COR OF,LOT 7 IN SEC 30 T 3S R 14W TH W,182.71 FT WITH A UNIFORM DEPTH OF,MNRS,7100,1965,1963,15998
1124,1124,4246009022,67,25,0,0,19700000,160320,2046841,ÿ,5,0,0,2207161,0,0,0,CORP OF THE PRESIDING BISHOP OF,CH OF JESUS CHRIST OF L D S,,RE:500-4659,D,19950605,50,3655,,S,,90066,CENTINELA AVE,LOS ANGELES CA,F,20130201,0,50,,E,UNIT E,84150,NORTH TEMPLE,SALT LAKE CITY UT,AND 68,,,,"TR=6052 EX OF STS LOTS 64,65,66,67",,,,,LARD1.5,7100,1990,1990,15408
1127,1127,4249001012,67,25,0,0,19750101,1023984,1517650,ÿ,5,0,0,2541634,0,0,0,CORP OF THE PRESIDING BISHOP OF,CH OF JESUS CHRIST OF LDS,,,D,19950605,50,3400,,,,90066,SAWTELLE BLVD,LOS ANGELES CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,1,,,TR=18399*(EX OF ST),,,,,LAR3,7100,1963,1960,27138
1153,1153,4267001016,8604,25,0,0,19670145,602694,325147,ÿ,5,0,0,927841,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST LDS,BRENTWOOD WARD,,D,19950605,84,1257,,,,90404,CENTINELA AVE,SANTA MONICA CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,ON E AND,13,A,,"CAMBRIDGE TRACT LOTS 12,14,15 AND 16 AND",EX OF ALLEY LOT 17 AND VAC ALLEY ADJ,,,,SMR2*,7100,1948,1948,8837
1159,1159,4273022001,8604,25,0,0,19650225,54446,20063,7,4,3000,0,74509,3000,0,0,CORP OF THE PRES OF L A CALIF E,STAKE CH OF JESUS CHRIST LDS,,,D,19950605,84,1702,,,,90405,PEARL ST,SANTA MONICA CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,TRACT # 12401,1,A,,,,,,,SMR1*,7100,1950,1944,1069
1195,1195,4289015013,8604,25,0,0,19670145,198807,690868,ÿ,5,0,0,889675,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST LDS,SANTA MONICA WARD,RE #500-4683,D,19950605,84,2303,,,,90405,2ND ST,SANTA MONICA CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,7,,,SOUTH SANTA MONICA WHARF PROPERTY,EX OF ST LOT 5 AND ALL OF LOTS 6 AND,,,,SMOP2*,7100,1950,1922,17419
1225,1225,4325030005,67,25,0,0,19670145,7207620,5509918,ÿ,ÿ,0,0,0,0,0,0,CORP OF PRES CALIF L A MISSION,,OF CH OF JESUS CHRIST OF LDS,,D,19950605,50,1591,,E,,90024,TEMPLE WAY,LOS ANGELES CA,F,19950621,0,50,,W,,84150,NORTH TEMPLE,SALT LAKE CITY UT,POR OF LOT 1,,,,TR=12443 FOR DESC SEE ASSESSOR'S MAPS,,,,,LARD1.5,7100,0,0,0
1226,1226,4325030006,67,25,0,0,19980205,8723753,14898497,ÿ,5,0,0,23622250,0,0,0,TEMPLE CORPORATION OF THE CH OF,JESUS CHRIST OF LATTER DAY STS,,,D,19950605,50,10777,,,,90025,SANTA MONICA BLVD,LOS ANGELES CA,F,20100603,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,POR OF LOT 1,,,,TR=12443 FOR DESC SEE ASSESSOR'S MAPS,,,,,LARD1.5,7100,1990,1954,126233
1227,1227,4325030007,67,25,0,0,19740221,1281930,685542,ÿ,5,0,0,1967472,0,0,0,CORP OF PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST L D S,,RE:500-4195,D,19950605,50,10740,,,,90024,OHIO AVE,LOS ANGELES CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,POR OF LOT 1,,,,TR=12443 FOR DESC SEE ASSESSOR'S MAPS,,,,,LARD1.5,7100,1952,1952,21647
1261,1261,4360007021,67,25,0,0,19681212,250587,109337,7,4,10000,0,359924,10000,0,0,CORP OF THE PRES OF L A CALIF E,,STAKE CH OF JESUS CHRIST OF LDS,,D,19930728,50,856,,,,90024,HILGARD AVE,LOS ANGELES CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,21,13,,TRACT NO 9070   (EX OF ST),,,,,LAR4,7100,1940,1931,7776
1274,1274,4416004017,67,25,0,0,20030903,465995,1215767,ÿ,5,0,0,1681762,0,0,0,CORP OF PRESIDENT OF THE L A CA,EAST STAKE CHURCH,,LDS TAX ADM 22ND FLR,D,20021217,50,575,,,,90272,LOS LIONES DR,LOS ANGELES CA,F,20040319,0,50,,E,,84150,NORTH TEMPLE ST,SALT LAKE CITY UT,,27,20,36.0,OFFICIAL MAP OF LOS ANGELES COUNTY AS,PER BK 1 PG 76 TO 92 OF O M   LOT COM,"S 72›04' E 203 FT AND S 35›33'23"" E","178.12 FT AND N 59›20'35"" E 111 FT FROM",MOST N COR OF BLK 7 TR NO 8923 TH N 34›,LARE40,7100,1973,1973,13430
1394,1394,5040026044,34,25,0,0,20030619,4935939,7826659,ÿ,5,0,0,12762598,0,0,0,CORP OF THE PRESIDING BISHOP OF,THE CHURCH OF JESUS CHRIST,,,D,20000307,50,3115,,S,,90007,VERMONT AVE,LOS ANGELES CA,F,20031028,0,50,,E,22ND FL,84150,NORTH TEMPLE,SALT LAKE CITY UT,AND ALL OF LOTS 14 THRU 19,,,,ROBEDEAU TRACT POR OF LOTS 6 THRU 13,,,,,LAR3,7100,1993,1993,26748
1473,1473,5055029011,210,25,0,0,19750409,101634,455385,ÿ,4,0,0,557019,0,0,0,CORP OF THE PRESIDENT OF L A,EAST STAKE CH JESUS CHRIST LDS,,,D,19950605,50,1057,,W,,90007,30TH ST,LOS ANGELES CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE ST,SALT LAKE CITY UT,WAVERLEY TRACT,11,,,,,,,,LAR4,7100,1985,1979,5985
1500,1500,5072025016,67,25,0,0,19710512,25655,23175,ÿ,5,0,0,48830,0,0,0,CHURCH OF THE LIVING GOD PILLAR,AND GROUND OF TRUTH INC,,,D,19930701,50,3425,,W,,90019,15TH ST,LOS ANGELES CA,E,0,0,0,,,,34230,PO BOX 1821,SARASOTA FL,,14,49,,CENTRAL ARLINGTON HEIGHTS,,,,,LARD2,7100,1921,1901,3443
1531,1531,5080004010,67,25,0,0,19670145,364503,750991,ÿ,5,0,0,1115494,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,WILSHIRE WARD,RE:500-4233,D,19950605,50,1207,,S,,90019,MANHATTAN PL,LOS ANGELES CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,14,,,"TRACT # 4640 LOTS 10,11,12,13 AND",,,,,LAR1,7100,1950,1928,25001
1657,1657,5115014032,6659,26,0,0,19970121,66528,1037647,ÿ,ÿ,0,0,0,0,0,0,"MADISON,BISHOP S TR",V H OF P F A P C ON THE R A F,,,D,19950605,50,1029,,E,,90011,VERNON AVE,LOS ANGELES CA,F,20100614,0,1665,,N,,20012,PORTAL DR NW,WASHINGTON DC,ROSE TR EX OF ST LOTS 92 THRU 94,,,,,,,,,LAC2,7100,1985,1965,15764
1674,1674,5119001021,4,12,0,0,20050222,359133,523981,ÿ,3,0,0,883114,0,0,0,REORGANIZED CHURCH OF JESUS,CHRIST OF LATTER DAY SAINTS,,,D,19750716,50,1327,,E,,90011,21ST ST,LOS ANGELES CA,F,20050408,0,1001,,W,,64050,WALNUT,INDEPENDENCE MO,,16,1,,GEORGE DALTON SR TRACT LOTS 14 AND,,,,,LAR4,7100,1964,1964,2170
1752,1752,5142001030,12706,23,0,0,20140305,6865086,25802108,ÿ,ÿ,0,0,0,0,0,0,UNIVERSAL CHURCH INC,,,,D,20150906,50,1925,,,,90057,WILSHIRE BLVD,LOS ANGELES CA,F,20140805,0,247,,,,7105,WALNUT ST,NEWARK NJ,"228300, 030514",,,,WESTLAKE PARK TR LAND DESC IN DOC,,,,,LAC4,7100,0,0,0
1954,1954,5247017033,996,11,0,0,19700000,83856,130121,ÿ,5,0,0,213977,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST L D S,,RE: 500-1412,D,19950605,50,712,,S,,90022,MCDONNELL AVE,LOS ANGELES CA,F,20060908,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,4,4,,"TRACT NO 4190   LOTS 2, 3 AND",,,,,LCR3*,7100,0,0,0
1981,1981,5266001038,6384,27,0,0,19670145,269228,1008158,ÿ,5,0,0,1277386,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF L D,,RE: 500-1420,D,19950605,57,2316,,,,91754,HILLVIEW AVE,MONTEREY PARK CA,F,19961203,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,TRACT NO 10759,189,,,,,,,,MPR1*,7100,1954,1952,20259
2008,2008,5285009027,3917,27,0,0,19700000,82616,446093,ÿ,5,0,0,528709,0,0,0,CORP OF PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,,RE 500-1617,D,19950605,78,7505,,,,91770,GARVALIA AVE,ROSEMEAD CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,ALL OF,5,,,TRACT NO 1985   E 60 FT OF LOT 4 AND,,,,,RMR2*,7100,1956,1956,16530
2009,2009,5285010035,3917,27,0,0,19781129,9911,4940,ÿ,5,0,0,14851,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,,,D,19950605,78,7515,,,,91770,GARVALIA AVE,ROSEMEAD CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,6,,,TRACT # 1985 N 110 FT OF,,,,,RMR2*,7100,1958,1958,13200
2040,2040,5320032039,9030,05,0,0,19661130,571621,1450285,ÿ,5,0,0,2021906,0,0,0,CORP OF THE PRESIDING BISHOP CH,JESUS CHRIST LDS SO PASADENA,,RE: 500-3679,D,19940609,88,1919,,,,91030,HUNTINGTON DR,SOUTH PASADENA CA,F,19930223,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,ADD NO 4 TO ONEONTA PARK,,,,"LOTS 3, 4 AND 5 AND VAC ALLEY",ADJ ON S AND W 75 FT OF LOT 1 WUEST,"TR AND LOTS 32, 33, 34, 35 AND 36",,,SPR31*-R21000*,7100,1971,1969,19264
2082,2082,5350007001,1797,05,0,0,19670145,115541,428713,,5,0,0,544254,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,ALHAMBRA WARD,RE: 500-1374,D,19950605,3,1200,,S,,91801,8TH ST,ALHAMBRA CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,1,23,,RAMONA N 15O FT OF,,,,,ALRPD*,7100,1941,1932,17822
2126,2126,5385016033,9285,05,0,0,19581015,127351,866465,ÿ,5,0,0,993816,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST L D S,LAS FLORES WARD,RE #500-3628,D,19950605,92,6257,,,,91780,KAUFFMAN AVE,TEMPLE CITY CA,F,20020131,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,2,N,,SANTA ANITA LAND CO'S TRACT   N 240 FT,OF THAT PART W OF KAUFFMAN AVE OF LOT 1,AND E 58 FT OF S 110 FT OF,,,TCR2*,7100,1957,1951,15662
2221,2221,5458031041,13,27,0,0,19870409,1715267,2337348,ÿ,5,0,0,4052615,0,0,0,CORP OF PRESIDING BISHOP OF CH,OF JESUS CHRIST OF L D S,,TAX ADMINISTRATION,D,19940609,50,3845,,,,90065,FLETCHER DR,LOS ANGELES CA,F,19930308,0,50,,,22 FLR,84150,E N TEMPLE,SALT LAKE CITY UT,TRACT NO 9540,,,,LOT COM AT SW COR OF LOT 19 TR NO 9540,TH NW ON SW LINE OF SD LOT TO NW LINE,OF SD LOT TH NE THEREON TO SE COR OF,"LOT 25 HAPPY HILLS TH N 27›45'40"" E",86.61 FT TH N 59›52' E 253.91 FT TH,LARD2,7100,1990,1990,14760
2316,2316,5527035025,67,25,0,0,20130625,123829,42013,ÿ,ÿ,0,0,0,0,0,0,"HUTTLER,RUBIN TR",,,,D,19930701,50,7967,,,,90048,BEVERLY BLVD,LOS ANGELES CA,F,20160329,0,6400,,S,# 1820,80111,FIDDLERS GREEN CIR,GREENWOOD VILLAGE CO,TRACT # 6790,345,,,,,,,,LAC2,7100,1952,1952,2610
2327,2327,5533006029,67,25,0,0,20140515,482000,4215304,ÿ,3,0,0,4697304,0,0,0,VINE PARTNERS LLC,,,C/O SUSAN SOLOMON,D,19930701,50,1219,,,,90038,VINE ST,LOS ANGELES CA,E,0,0,0,,,,44440,PO BOX 523,MINERAL RIDGE OH,AND PART OF LOT 1 TRACT NO 25908,,,,LOT COM N ON E LINE OF LOT 4 BLK 13,COLEGROVE 93 FT FROM SE COR OF SD,LOT TH W 85.3 FT TH N 3 FT TH W,43.15 FT TH N 44 FT TH E ON N LINE OF,OF SD LOT TO E LINE OF W 8.5 FT OF,LAC2,7100,2007,2007,12898
2356,2356,5543002035,8827,04,0,0,19681004,442333,3304765,ÿ,5,0,0,3747098,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,,RE:500-4179,D,19950605,50,1552,,N,,90027,NORMANDIE AVE,LOS ANGELES CA,F,20060918,0,50,,E,FLR 22,84150,NORTH TEMPLE,SALT LAKE CITY UT,OF ST LOTS 8 THUR 12 AND LOTS 16 TO 18,,,,KEYSTONE TRACT VAC ST ADJ ON N AND EX,,,,,LARD1.5,7100,1996,1996,16484
2379,2379,5548001023,67,25,0,0,20081113,11530959,2882737,ÿ,6,0,0,5615574,0,0,0,LENOX LEASING DELAWARE LLC,,,KERRY FAHEY,D,19930701,50,7107,,,,90046,HOLLYWOOD BLVD,LOS ANGELES CA,F,20150727,0,40,,W,23RD FLR,10019,57TH ST,NEW YORK NY,5 AND ALL OF,2,,,*TR=WINGFIELD TR*LOT COM AT NW COR OF,TR NO 33567 TH N 0›18' E 123.7 FT TH,S 89›22' E 156 FT TH S 0›18' W 66.84 FT,TH S 89›22' E TO SW LINE OF LA BREA AVE,TH SE THEREON AND W ON N LINE OF HOLLY-,LAR3,7100,1959,1959,20620
2396,2396,5589033054,8827,04,0,0,19881028,475566,317039,ÿ,5,0,0,792605,0,0,0,ARMENIAN MISSIONARY ASSN OF,AMERICA INC,,,D,19950605,50,4950,,,,90027,FRANKLIN AVE,LOS ANGELES CA,F,20050524,0,31,,W,,7652,CENTURY RD,PARAMUS NJ,,62,E,,HOLMBY AVE TRACT NO 3 N 120 FT OF,,,,,LARD1.5,7100,1924,1924,7500
2420,2420,5608019012,2530,24,0,0,19670145,352076,355255,ÿ,5,0,0,707331,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,BURBANK WARD,RE#501-6509,D,19950605,13,136,,N,,91501,SUNSET CANYON DR,BURBANK CA,F,20060411,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,6,,,TRACT # 10797 LOT COM AT MOST S COR OF,"LOT 5 TH N 41›36'02"" E 175 FT TH S 47›","15'02"" E 199.32 FT TH S ON W LINE OF","COUNTRY CLUB DR 131.56 FT TH S 77›32'47""","W 130.81 FT TH S 3›38'05"" E 88.18 FT TH",BUR1*,7100,1930,1926,19063
2445,2445,5636011109,4045,24,0,0,19860321,3848819,6536225,ÿ,5,0,0,10385044,0,0,0,CORP OF PRESIDING BISHOP OF THE,CHURCH OF JESUS CHRIST OF LDS,,,D,20011218,29,1101,,N,,91202,CENTRAL AVE,GLENDALE CA,F,20100603,0,50,,E,,84101,NORTH TEMPLE,SALT LAKE CITY UT,A M B 12-178-179 AND POR B P M 107-1,,,,"LAND DESC IN DOC 405612,910322,POR LOT",,,,,GLR4YY,7100,0,0,0
2483,2483,5674001019,4045,24,0,0,19571212,755914,932627,ÿ,5,0,0,1688541,0,0,0,CORP OF THE PRESIDING BISHOP OF,CH OF JESUS CHRIST OF L D S,GLENDALE E 3RD WDS GLENDALE ST,,D,19950605,29,1130,,E,,91206,WILSON AVE,GLENDALE CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,TRACT NO 4659,,,,2.12 MORE OR LESS ACS E 94.38 FT OF,LOT 2 BLK 25 GLENDALE AND LOTS 1 AND 7,,,,GLC3*,7100,0,0,0
2568,2568,5730027001,7500,05,0,0,19990603,529723,1112165,ÿ,5,0,0,1641888,0,0,0,NATIONAL ORGANIZATION OF THE NEW,APOSTOLIC CHURCH OF N AMERICA,,,D,20000307,71,814,,E,,91104,CLAREMONT ST,PASADENA CA,F,20160418,0,3753,,N,,60618,TROY ST,CHICAGO IL,ALL OF LOTS 32 AND 33 TRACT # 4726,,,,LOT COM AT INTERSECTION OF E LINE OF,HUDSON AVE WITH S LINE OF CLAREMONT ST,"PER CF708 TH S 1›46'10"" W 150.02 FT TH S","89›54'30"" E 210 FT TH N 1›46'10"" E",150.26 FT TH W ON S LINE OF CLAREMONT ST,PSC6,7100,1924,1924,9479
2591,2591,5737004003,7500,27,0,0,19650225,83856,105281,7,4,8000,0,189137,8000,0,0,CORP OF THE PRES OF L A CALIF E,STAKE CH OF JESUS CHRIST LDS,,,D,19950605,71,1501,,E,,91106,COLORADO BLVD,PASADENA CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,2,,,THURMAN TR E 15 FT OF LOT 1 AND ALL OF,,,,,PSC*,7100,1940,1922,4440
2643,2643,5757005005,7500,27,0,0,20021127,681400,920300,ÿ,8,0,0,1493185,0,0,0,CORP OF THE PRESIDENT OF L A CA,E STAKE OF CHURCH JC OF LDS,,,D,19950605,71,770,,,,91107,SIERRA MADRE VILLA AVE,PASADENA CA,F,20030715,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,1,,,LAND OF A B CHAPMAN IN THE RANCHO SANTA,ANITA 8.09 MORE OR LESS ACS COM N 7›14',W 50 FT FROM MOST W COR OF TR NO 14449,TH N 32›34' E 500 FT TH N 225 FT TH N,"29›32'44"" E 396.26 FT TH N 100 FT TH W",PSC*,7100,1957,1953,30472
2654,2654,5769026037,1887,05,0,0,19790227,916535,3925104,,5,0,0,4841639,0,0,0,CORP OF PRESIDING BISHOP OF CH,,OF JESUS CHRIST OF L D S,,D,19950605,5,614,,W,,91006,FOOTHILL BLVD,ARCADIA CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,OF P M,1,,,*TR=PARCEL MAP AS PER BK 107 P 35-36,,,,,ARR110000*,7100,1981,1981,27804
2665,2665,5782003025,1906,05,0,0,19890717,950633,1406510,,4,0,0,2357143,0,0,0,CORP OF THE PRES OF EAST L A,CH OF JESUS CHRIST OF L D S,,LDS CHURCH TAX ADMINISTRATION,D,19950605,5,150,,W,,91007,DUARTE RD,ARCADIA CA,F,19910426,0,50,,E,22   FLR,84150,N TEMPLE,SALT LAKE CITY UT,,4,,,SANTA ANITA COLONY   LOT (EX OF ST) COM,S 81› W 304.34 FT FROM NE COR OF LOT 4,TH S 81› W 477.49 FT TH S 285.10 FT TH,"N 89›01'28"" E 167.56 FT TH N 89›47'","26"" E TO E LINE OF LOT 3 TR NO 13726 TH",ARR17500*,7100,0,0,0
2676,2676,5803027053,4103,24,0,0,19670621,144958,1382051,ÿ,5,0,0,1527009,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST L D S,,RE:505-7426,D,19950605,37,4550,,,,91214,RAYMOND AVE,LA CRESCENTA CA,F,20060427,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,OF LOTS 1 AND,4,C,,CRESCENTA CANADA   LOT COM AT MOST,S COR OF LOT 2 TR NO 23759 TH N 53›30',W 410.39 FT TH N 165 FT TH N 53›30',W 356.44 FT TH S TO SE PROLONGATION OF,NE LINE OF FAIRMOUNT AVE TH N 53›30' W,LCR17500*,7100,0,0,0
2685,2685,5810023001,5562,24,0,0,20030818,132321,443862,ÿ,4,0,0,576183,0,0,0,CHURCH OF JESUS CHRIST OF,LATTER DAY SAINTS,,TAX DIVISION,D,20030910,108,1830,,,,91011,FOOTHILL BLVD,LA CANADA FLT CA,F,20111103,0,50,,E,22 FLR,84150,NORTH TEMPLE,SALT LAKE CITY UT,,3,,,TRACT NO 4075   LOT COM AT MOST W COR OF,LOT 1 TR NO 15288 TH NW ON SW LINE OF,FOOTHILL BLVD TO A PT SE ON NE LINE OF,"LOT 2, 261.19 FT AND S 26›06'51"" W FROM","MOST N COR OF SD LOT 2 TH S 26›06'51"" W",LCR1YY,7100,1954,1951,13616
2743,2743,6002020016,212,25,0,0,20080507,143222,6006,ÿ,ÿ,0,0,0,0,0,0,6071 SOUTH NORMANDIE AVE LLC,,,,D,19930701,50,1406,,W,,90047,60TH PL,LOS ANGELES CA,F,20080616,0,112,,N,,89703,CURRY ST,CARSON CITY NV,,9,,,TRACT # 4269 E 45 FT OF,,,,,LAR1,7100,1956,1956,5130
2744,2744,6002020018,212,25,0,0,20080507,289634,178311,ÿ,ÿ,0,0,0,0,0,0,6071 SOUTH NORMANDIE AVE LLC,,,,D,19930701,50,6071,,S,,90044,NORMANDIE AVE,LOS ANGELES CA,F,20080616,0,112,,N,,89703,CURRY ST,CARSON CITY NV,,24,2S,14.0,LOT COM AT SE COR OF LOT 1 TR # 9508 TH,N ON E LINE OF SD LOT AND ON N PRO,LONGATION OF SD E LINE 133.35 FT TH E,100 FT TO W LINE OF NORMANDIE AVE TH S,THEREON AND W ON N LINE OF 61ST ST TO,LAC2,7100,1935,1935,12367
2771,2771,6008039001,1193,26,0,0,19970925,101154,370924,ÿ,5,0,0,472078,0,0,0,UNIVERSAL CHURCH,,,,D,19970603,50,6000,,,,90001,COMPTON AVE,LOS ANGELES CA,F,20131221,0,247,,,,7105,WALNUT ST,NEWARK NJ,,1,,,MIRAMONTE TRACT EX OF ST,,,,,LCM1*,7100,1924,1924,6300
2863,2863,6029001015,6659,26,0,0,20131004,90091,44527,ÿ,ÿ,0,0,0,0,0,0,"MANLEY,LOUIE",,,,D,19730717,50,7926,,,,90003,AVALON BLVD,LOS ANGELES CA,F,20151020,0,9506,,,,77396,GARNET FALLS LN,HUMBLE TX,TRACT NO 6O97,1014,,,,,,,,LAC2,7100,1940,1940,1250
2869,2869,6029031011,8832,26,0,2015,20140528,207106,207106,ÿ,ÿ,0,0,0,0,0,0,SACRED HOLY GHOST TEMPLE,,,C/O ELDER T TURNER,D,19670923,50,715,,E,,90001,MANCHESTER AVE,LOS ANGELES CA,F,20140701,0,845,,N,UNIT 527,64153,CONGRESS AVE,KANSAS CITY MO,,19,,,TRACT NO 6534 LOTS 18 AND,,,,,LACM,7100,1949,1949,4512
3021,3021,6050004002,461,26,0,0,19821008,14797,21045,ÿ,ÿ,0,0,0,0,0,0,ISRAEL OF GOD WHITE HORSE ARMY,CHURCH,,ATTN BISHOP THOMAS,D,19950605,50,9217,,,,90002,CLOVIS AVE,LOS ANGELES CA,F,20060405,0,248,,,,60178,NORTH AVE,SYCAMORE IL,TRACT # 8359,126,,,,,,,,LAC2,7100,1949,1949,1000
3022,3022,6050004003,461,26,0,0,19821008,44615,74067,ÿ,5,0,0,118682,0,0,0,ISRAEL OF GOD WHITE HORSE ARMY,CHURCH,,ATTN BISHOP THOMAS,D,19950605,50,9215,,,,90002,CLOVIS AVE,LOS ANGELES CA,F,20060405,0,248,,,,60178,NORTH AVE,SYCAMORE IL,,129,,,"TRACT # 8359 LOTS 127,128 AND",,,,,LAC2,7100,1951,1951,3212
3034,3034,6052020005,461,26,0,2015,19761222,7339,27556,ÿ,ÿ,0,0,0,0,0,0,"HINES,WALTER",,,,D,19670923,50,9616,,S,,90003,SAN PEDRO ST,LOS ANGELES CA,F,20080225,0,417,,,,39074,D HUGHES RD,FOREST MS,,6,1,,TRACT # 6401 EX OF ST,,,,,LAR4,7100,1952,1948,1376
3096,3096,6063026028,461,26,0,0,20000725,127283,101187,ÿ,5,0,0,228470,0,0,0,CORP OF THE PRES BISHOP OF THE,CHURCH OF LATTER DAY SAINTS,,LDS CHURCH REAL EST 12TH FLR. E,D,19970603,50,10625,,S,,90003,SAN PEDRO ST,LOS ANGELES CA,F,20060405,0,50,,E,,84150,NORTH TEMPLE STREET,SALT LAKE CITY UT,,217,,,TRACT # 5745 EX OF ST,,,,,LAR4,7100,1985,1982,3657
3271,3271,6141001045,11258,26,0,0,20130320,728164,1698819,ÿ,5,0,0,2426983,0,0,0,UNIVERSAL CHURCH INC,,,,D,19991213,19,1900,,W,,90220,ALONDRA BLVD,COMPTON CA,F,20140207,0,247,,,,7105,WALNUT ST,NEWARK NJ,PART OF,278,,,TRACT NO 15261   LOT COM AT NE COR OF,LOT 278 TH S ON E LINE OF SD LOT TO A,"PT N 0›34'45"" W 145 FT FROM INTER-",SECTION OF S PROLONGATION OF SD E LINE,WITH E PROLONGATION OF S LINE OF SD,COCL*,7100,1988,1983,24694
3272,3272,6141013086,2800,10,0,0,20140611,440101,310660,ÿ,3,0,0,750761,0,0,0,CALVARY COMMUNITY CHURCH OF,COMPTON,,,D,20150115,0,950,,W,,90220,ALONDRA BLVD,COMPTON CA,F,20141001,0,3030,,,,89135,HAMMERWOOD DR,LAS VEGAS NV,POR LOT 1,,,,TR=65829 FOR DESC SEE ASSESSOR'S MAPS,,,,,COCL-P*,7100,2010,2010,5360
3291,3291,6150023002,9748,14,0,0,19870803,56576,147434,ÿ,5,0,0,204010,0,0,0,NATIONAL ORG OF THE,NEW APOLISTIC CHURCH OF AMER,,ELLEN ECKHARDT,D,19950605,50,11906,,,,90059,WILLOWBROOK AVE,LOS ANGELES CA,F,20030912,0,3753,,N,,60618,TROY ST,CHICAGO IL,SPRINGDALE TRACT,135,,,,,,,,LCR3*,7100,1981,1975,1960
